0,56,5,14,47,1,86,25,99,66,76,98,34,80,6,45,0
100,70,58,100,10,75,0,24,48,0,100,19,97,68,45,81,0
100,77,58,100,16,69,0,27,40,0,93,15,95,58,53,89,0
0,39,2,62,11,5,63,0,100,43,89,99,36,100,0,57,0
0,56,5,14,47,0,86,25,100,66,76,100,34,80,6,45,0
0,67,14,25,57,0,100,22,95,75,54,100,7,87,4,39,0
0,44,15,0,62,5,95,40,100,88,60,100,27,64,11,17,0
0,70,1,29,37,0,88,5,100,43,78,79,34,100,5,70,0
0,59,9,36,43,0,91,20,100,65,65,100,15,84,10,41,0
0,88,10,48,33,12,75,0,100,35,87,75,50,100,6,95,0
0,73,12,26,49,0,92,13,100,60,73,98,29,100,8,60,0
0,97,2,58,19,21,65,0,100,29,98,67,66,100,16,93,0
0,90,3,41,31,0,76,16,100,61,70,100,25,87,14,38,0
0,89,4,47,21,0,73,2,100,45,78,89,25,100,14,54,0
0,51,8,20,40,0,78,11,100,43,95,81,61,100,27,85,0
0,45,17,4,55,0,89,24,100,70,72,100,36,83,18,39,0
0,52,23,0,79,5,100,58,59,60,74,64,79,100,27,74,0
0,47,5,25,52,0,93,30,100,75,62,100,30,63,42,22,0
0,58,18,26,49,0,86,18,100,50,86,82,45,100,17,77,0
0,85,42,97,30,75,23,21,72,0,100,47,87,100,36,99,0
1,90,0,54,20,16,68,0,100,31,99,71,61,100,26,75,0
100,79,67,100,26,76,41,38,47,0,0,8,38,38,96,58,8
100,89,40,83,63,40,84,0,0,7,53,53,80,100,3,78,8
100,75,95,100,24,81,38,44,69,8,0,0,45,33,96,64,8
100,100,14,90,74,55,79,97,37,62,0,39,36,0,39,44,8
100,100,26,97,1,66,45,33,29,0,0,26,38,61,87,93,8
100,66,56,100,23,73,77,34,65,0,0,24,55,58,73,77,8
100,97,40,100,0,65,35,27,39,0,40,38,87,73,87,100,8
100,95,38,99,35,65,70,29,32,0,0,27,36,64,65,100,8
100,95,0,78,93,59,81,100,62,44,2,5,96,0,48,48,8
100,92,18,81,46,39,62,0,1,13,43,56,74,100,0,75,8
100,75,47,100,0,79,49,41,66,0,3,25,27,66,98,91,8
100,89,52,100,25,71,45,34,38,0,0,17,34,47,76,71,8
100,94,40,100,0,68,43,35,92,5,23,0,3,34,46,68,8
100,100,31,89,36,55,70,22,23,0,0,28,43,58,86,89,8
100,90,27,100,0,66,56,33,81,0,10,16,33,57,98,84,8
100,100,9,95,0,52,98,26,48,0,46,45,98,90,18,71,8
100,94,53,80,68,39,68,0,0,0,17,36,62,69,88,100,8
100,100,37,89,43,57,69,26,33,0,0,19,35,48,83,73,8
100,94,29,84,32,41,59,0,0,1,42,38,87,74,52,100,8
100,83,64,100,50,65,75,26,35,0,0,22,46,53,100,78,8
