65,60,100,100,5,100,19,57,65,15,0,0,13,43,97,75
65,93,68,73,92,23,13,0,0,38,87,65,100,100,5,98
65,98,41,74,100,100,32,85,10,60,0,0,73,12,33,62
65,95,0,77,46,36,35,0,5,26,73,61,100,100,6,84
65,100,0,79,67,41,99,0,10,3,41,42,100,80,6,90
66,90,6,55,100,73,45,100,33,46,0,0,89,11,13,23
66,86,0,94,21,52,80,14,14,0,42,39,100,78,49,100
66,98,22,67,100,88,17,100,11,52,0,0,79,13,22,53
66,93,50,56,80,100,0,55,17,35,59,0,100,52,0,29
66,91,22,73,50,27,19,0,0,33,65,60,100,96,24,100
66,74,23,100,14,69,64,36,47,0,0,23,35,60,100,87
66,76,34,100,5,76,43,39,44,0,0,17,45,50,100,76
67,99,62,62,97,13,0,0,7,34,100,59,100,100,10,93
67,99,0,95,29,61,100,36,87,0,43,21,70,60,83,100
67,100,18,81,44,39,35,0,0,28,53,57,100,88,42,94
67,66,56,100,10,74,59,38,70,0,0,15,29,54,100,82
67,86,59,66,95,26,44,0,0,30,59,63,100,98,19,100
68,89,0,100,38,59,98,23,80,0,39,35,100,69,75,92
69,97,0,90,24,45,81,3,0,0,46,45,100,89,20,100
69,79,48,57,69,19,0,0,30,34,93,63,100,100,37,76
69,89,6,100,10,64,35,26,10,0,0,36,47,64,100,91
69,94,0,81,73,55,100,21,32,0,20,33,58,67,51,100
70,61,65,100,15,70,72,34,87,0,0,10,23,50,100,76
70,92,0,83,57,49,100,13,16,0,5,37,48,74,64,100
70,99,42,69,35,30,0,0,19,29,60,58,100,88,54,100
70,81,25,100,0,74,42,40,77,5,40,0,53,40,100,70
72,83,49,100,61,58,82,17,0,0,25,33,100,61,75,92
72,100,5,97,53,52,93,6,0,0,11,43,100,77,58,99
72,100,2,77,59,36,100,0,0,7,31,52,100,92,22,91
73,62,53,100,0,72,82,39,100,0,15,14,52,57,90,94
73,98,0,95,16,60,84,29,70,0,45,35,100,69,88,100
73,64,54,100,0,75,60,40,91,0,13,13,46,55,100,87
73,96,50,70,38,24,0,0,29,41,70,77,100,100,46,78
73,78,10,73,60,35,43,0,0,25,57,62,100,100,20,96
73,100,0,91,49,63,100,31,58,0,16,28,45,69,30,98
74,74,62,100,10,76,36,39,62,2,0,0,24,30,100,50
75,100,0,89,70,61,100,26,32,0,7,31,63,63,95,99
75,75,36,100,6,68,62,35,100,0,0,6,31,41,93,74
75,91,30,100,24,60,53,21,11,0,0,37,44,70,100,93
75,92,23,83,58,39,77,0,0,13,42,51,100,86,32,100
75,61,85,100,22,82,37,42,55,2,0,0,31,36,100,60
76,85,0,100,16,63,81,31,69,0,6,25,34,64,100,95
76,70,32,100,10,71,85,41,100,4,4,0,0,39,54,73
76,95,23,100,36,60,68,22,23,0,0,33,46,65,100,94
76,97,64,62,100,15,14,0,0,35,90,59,98,100,0,98
76,100,59,66,89,23,9,0,0,31,80,62,100,96,2,86
77,60,77,100,10,90,15,49,40,8,0,0,32,34,100,55
77,72,51,100,0,77,61,42,94,0,22,2,33,45,100,76
77,87,87,57,100,19,13,0,28,35,83,69,94,100,0,79
77,100,28,80,63,41,59,0,0,10,47,44,100,75,61,94
77,83,47,72,78,27,22,0,0,30,68,60,100,100,20,90
78,85,65,66,100,25,49,0,15,29,58,67,66,100,0,84
78,99,0,100,17,63,57,28,47,0,7,31,45,65,100,95
78,67,65,100,0,75,56,37,84,0,2,10,35,52,100,86
78,79,40,100,6,71,16,33,16,0,0,32,46,58,100,80
79,100,14,81,49,39,100,0,32,0,52,55,71,100,0,71
80,81,34,100,0,70,45,39,76,0,28,12,57,54,100,85
81,82,0,95,19,62,84,29,45,0,24,33,83,68,100,100
81,69,63,100,0,82,41,41,81,0,19,3,41,44,100,74
81,85,10,79,42,38,56,0,0,21,45,62,100,100,29,82
81,76,15,100,0,65,100,33,65,0,10,28,90,64,73,94
82,100,35,78,97,39,94,0,0,1,39,42,100,81,40,94
82,100,0,85,67,49,100,10,6,0,12,41,82,77,69,99
82,86,0,67,38,29,96,0,25,20,65,61,100,100,18,73
83,95,0,86,56,49,100,13,17,0,48,40,99,79,37,100
83,85,17,98,37,57,94,19,38,0,0,38,65,71,100,100
84,93,20,100,22,50,44,0,0,22,54,59,100,95,27,97
84,92,41,91,37,46,66,0,0,9,46,49,100,85,33,100
84,74,74,100,32,74,58,34,49,0,0,8,48,37,100,62
85,69,47,100,0,75,44,38,72,0,16,16,57,55,100,87
85,90,10,65,100,69,34,100,53,41,0,0,92,5,35,48
86,100,0,95,32,56,100,22,30,0,5,36,80,68,52,99
86,79,47,100,18,62,65,27,66,0,0,3,46,39,100,71
86,78,48,100,14,72,19,35,2,0,0,29,49,59,100,88
86,71,72,100,32,75,55,35,42,0,0,17,48,45,100,70
86,90,28,100,0,52,46,4,26,0,25,51,100,83,73,99
86,62,64,100,0,80,40,44,92,12,29,0,41,37,100,65
86,83,40,100,0,72,49,37,63,0,10,20,52,55,100,82
86,74,21,100,0,73,66,38,100,0,12,8,49,49,100,76
87,100,31,76,100,91,38,80,22,62,0,0,73,9,33,64
88,78,34,100,0,73,45,38,78,0,21,11,50,49,100,82
88,99,9,100,0,54,55,12,4,0,24,40,100,73,63,94
88,88,53,78,100,40,91,0,0,1,5,39,57,76,18,100
88,59,100,100,16,85,42,45,82,8,0,0,32,40,89,77
89,92,20,100,11,67,43,34,54,0,0,24,34,56,100,82
