1,30,35,0,78,14,100,56,85,100,42,98,8,65,0,20,0
1,92,0,49,26,0,80,1,100,51,74,100,24,83,27,29,0
2,37,8,25,42,0,89,17,100,59,73,96,23,100,0,62,0
2,86,4,37,31,0,74,10,100,49,80,90,35,100,0,72,0
3,70,0,25,41,0,89,18,100,61,75,100,25,100,14,58,0
3,69,0,18,37,0,77,13,100,54,80,97,41,100,21,61,0
4,63,12,15,52,0,92,15,100,63,72,100,28,97,0,62,0
4,88,0,43,25,4,70,0,100,35,94,79,53,100,8,86,0
4,94,7,42,35,0,82,11,100,58,73,100,25,93,0,49,0
4,76,0,33,34,0,84,17,100,61,72,100,25,90,14,45,0
4,77,0,35,28,0,74,2,100,37,89,80,48,100,12,73,0
5,77,0,64,21,5,71,0,100,49,67,100,19,93,13,28,0
5,56,5,16,56,0,100,29,97,68,59,100,8,93,0,55,0
5,65,2,25,41,0,89,11,100,54,70,92,23,100,0,64,0
5,75,0,46,16,5,67,0,100,34,92,75,47,100,6,77,0
6,74,0,32,38,0,90,14,100,64,67,100,18,78,16,34,0
6,43,16,2,68,0,100,35,81,75,38,100,7,63,0,22,0
6,83,0,39,24,0,73,11,100,51,82,94,35,100,6,62,0
6,90,0,45,21,0,72,0,100,41,86,88,37,100,9,59,0
7,86,0,62,15,20,62,0,100,31,96,73,53,100,8,78,0
7,89,0,45,16,5,51,0,84,20,100,61,84,100,50,98,0
7,69,0,25,36,0,74,10,100,49,85,95,45,100,17,67,0
7,54,8,14,56,0,99,24,100,68,63,100,12,97,0,56,0
7,88,0,42,19,0,67,1,100,35,93,79,49,100,3,89,0
7,96,0,61,13,22,61,0,100,30,98,69,59,100,13,86,0
8,66,17,27,49,0,89,23,100,63,75,97,25,100,0,67,0
9,100,0,66,20,25,61,0,100,21,93,64,54,91,9,76,0
9,86,1,51,27,11,76,0,100,39,84,83,37,100,0,69,0
9,96,1,50,12,0,69,3,100,48,82,97,28,100,0,54,0
9,100,4,64,0,24,28,0,69,18,100,49,92,84,46,90,0
9,77,0,30,29,0,70,4,100,37,84,82,47,100,17,72,0
9,93,0,54,12,15,62,0,99,29,100,70,64,100,26,78,0
9,85,0,45,16,5,63,0,95,31,100,72,65,100,19,89,0
10,97,2,47,24,1,74,0,100,43,82,90,33,100,0,65,0
10,86,0,44,33,0,80,9,100,65,64,100,22,74,32,20,0
10,80,12,37,38,0,90,4,100,44,72,82,24,100,0,62,0
10,100,1,66,0,19,40,0,84,28,100,72,59,98,7,88,0
10,75,0,40,22,4,58,0,89,25,100,67,78,100,44,89,0
11,50,0,16,38,0,79,8,100,46,76,84,37,100,0,84,0
11,84,0,34,35,0,84,19,100,67,65,100,21,70,11,24,0
11,85,0,46,12,5,53,0,88,25,100,68,73,100,34,92,0
11,100,0,68,22,14,66,0,100,35,78,88,34,100,13,51,0
11,82,6,41,28,0,78,7,100,48,80,90,32,100,0,65,0
11,80,10,25,46,0,87,11,100,61,69,97,26,100,0,61,0
11,60,0,55,22,1,77,0,100,56,62,100,8,95,5,36,0
11,83,0,38,21,0,71,1,100,37,87,80,41,100,5,71,0
12,61,0,20,44,0,92,23,100,64,70,100,15,92,0,52,0
12,55,0,46,21,6,66,0,100,30,99,73,63,100,18,93,0
12,73,0,30,33,0,77,6,100,44,78,85,37,100,12,67,0
12,78,7,36,33,2,83,0,100,38,85,78,43,100,0,80,0
12,78,0,31,30,0,67,1,100,27,96,76,63,100,39,73,0
12,87,0,44,20,4,66,0,100,30,89,75,49,100,13,77,0
12,100,0,62,11,19,49,0,88,19,100,60,72,93,30,92,0
